"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","b_rbi"
"Lindor, Francisco","596019","2022","630","706","170","114","25","5","26","133",18.8,8.4,".270",".449",".339","107"
"Hernandez, Teoscar","606192","2022","499","535","133","72","35","1","25","152",28.4,6.4,".267",".491",".316","77"
"Machado, Manny","592518","2022","578","644","172","102","37","1","32","133",20.7,9.8,".298",".531",".366","102"
"Farmer, Kyle","571657","2022","526","583","134","94","25","1","14","99",17,5.7,".255",".386",".315","78"
"Pollock, AJ","572041","2022","489","527","120","79","26","1","14","98",18.6,6.1,".245",".389",".292","56"
"Bohm, Alec","664761","2022","586","631","164","124","24","3","13","110",17.4,4.9,".280",".398",".315","72"
"Bellinger, Cody","641355","2022","504","550","106","57","27","3","19","150",27.3,6.9,".210",".389",".265","68"
"Merrifield, Whit","593160","2022","504","550","126","86","28","1","11","85",15.5,6.9,".250",".375",".298","58"
"McNeil, Jeff","643446","2022","533","589","174","125","39","1","9","61",10.4,6.8,".326",".454",".382","62"
"Crawford, J.P.","641487","2022","518","603","126","93","24","3","6","80",13.3,11.3,".243",".336",".339","42"
"Kirk, Alejandro","672386","2022","470","541","134","101","19","0","14","58",10.7,11.6,".285",".415",".372","63"
"Happ, Ian","664023","2022","573","641","155","94","42","2","17","149",23.2,9,".271",".440",".342","72"
"Tellez, Rowdy","642133","2022","529","599","116","58","23","0","35","121",20.2,10.4,".219",".461",".306","89"
"Witt Jr., Bobby","677951","2022","591","632","150","93","31","6","20","135",21.4,4.7,".254",".428",".294","80"
"Kiner-Falefa, Isiah","643396","2022","483","531","126","102","20","0","4","72",13.6,6.6,".261",".327",".314","48"
"Kwan, Steven","680757","2022","563","638","168","130","25","7","6","60",9.4,9.7,".298",".400",".373","52"
"Andrus, Elvis","462101","2022","535","577","133","84","32","0","17","92",15.9,6.8,".249",".404",".303","58"
"Chapman, Matt","656305","2022","538","621","123","68","27","1","27","170",27.4,11,".229",".433",".324","76"
"Soto, Juan","665742","2022","524","664","127","73","25","2","27","96",14.5,20.3,".242",".452",".401","62"
"Rengifo, Luis","650859","2022","489","511","129","86","22","4","17","79",15.5,3.3,".264",".429",".294","52"
"Swanson, Dansby","621020","2022","640","696","177","119","32","1","25","182",26.1,7,".277",".447",".329","96"
"Blackmon, Charlie","453568","2022","530","577","140","96","22","6","16","109",18.9,5.5,".264",".419",".314","78"
"Abreu, Jose","547989","2022","601","679","183","128","40","0","15","110",16.2,9.1,".304",".446",".378","75"
"Schoop, Jonathan","570731","2022","481","510","97","62","23","1","11","107",21,3.7,".202",".322",".239","38"
"Rojas, Miguel","500743","2022","471","507","111","84","19","2","6","61",12,5.1,".236",".323",".283","36"
"Semien, Marcus","543760","2022","657","724","163","101","31","5","26","120",16.6,7.3,".248",".429",".304","83"
"Yastrzemski, Mike","573262","2022","485","558","104","54","31","2","17","141",25.3,10.9,".214",".392",".305","57"
"Turner, Justin","457759","2022","468","532","130","81","36","0","13","89",16.7,9.4,".278",".438",".350","81"
"Gimenez, Andres","665926","2022","491","557","146","100","26","3","17","112",20.1,6.1,".297",".466",".371","69"
"Mullins II, Cedric","656775","2022","608","672","157","105","32","4","16","126",18.8,7,".258",".403",".318","64"
"Hoerner, Nico","663538","2022","481","517","135","98","22","5","10","57",11,5.4,".281",".410",".327","55"
"Adames, Willy","642715","2022","563","617","134","72","31","0","31","166",26.9,7.9,".238",".458",".298","98"
"Mancini III, Trey","641820","2022","519","587","124","82","23","1","18","135",23,9,".239",".391",".319","63"
"France, Ty","664034","2022","551","613","151","103","27","1","20","94",15.3,5.7,".274",".436",".338","83"
"Springer III, George","543807","2022","513","583","137","86","22","4","25","100",17.2,9.3,".267",".472",".342","76"
"Cruz Jr., Nelson","443558","2022","448","507","105","79","16","0","10","119",23.5,9.7,".234",".337",".313","64"
"Murphy, Sean","669221","2022","537","612","134","77","37","2","18","124",20.3,9.2,".250",".426",".332","66"
"Castellanos, Nick","592206","2022","524","558","138","98","27","0","13","130",23.3,5.2,".263",".389",".305","62"
"Vaughn, Andrew","683734","2022","510","555","138","92","28","1","17","96",17.3,5.6,".271",".429",".321","76"
"Olson, Matt","621566","2022","616","699","148","70","44","0","34","170",24.3,10.7,".240",".477",".325","103"
