"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","b_rbi"
"Urshela, Gio","570482","2022","501","551","143","100","27","3","13","96",17.4,7.4,".285",".429",".338","64"
"Mateo, Jorge","622761","2022","494","533","109","64","25","7","13","147",27.6,5.1,".221",".379",".267","50"
"Arenado, Nolan","571448","2022","557","620","163","90","42","1","30","72",11.6,8.4,".293",".533",".358","103"
"Marte, Starling","516782","2022","466","505","136","91","24","5","16","97",19.2,5.1,".292",".468",".347","63"
"Cronenworth, Jake","630105","2022","587","684","140","89","30","4","17","131",19.2,10.2,".239",".390",".332","88"
"Acuna Jr., Ronald","660670","2022","467","533","124","85","24","0","15","126",23.6,9.9,".266",".413",".351","50"
"Bell, Josh","605137","2022","552","647","147","98","29","3","17","102",15.8,12.5,".266",".422",".362","71"
"Aguilar, Jesus","542583","2022","464","507","109","74","19","0","16","119",23.5,5.5,".235",".379",".281","51"
"Hays, Austin","669720","2022","535","582","134","81","35","2","16","114",19.6,5.8,".250",".413",".306","60"
"Nimmo, Brandon","607043","2022","580","673","159","106","30","7","16","116",17.2,10.5,".274",".433",".367","64"
"Rizzo, Anthony","519203","2022","465","548","104","50","21","1","32","101",18.4,10.6,".224",".480",".338","75"
"Realmuto, J.T.","592663","2022","504","562","139","86","26","5","22","119",21.2,7.3,".276",".478",".342","84"
"Kim, Ha-Seong","673490","2022","517","582","130","87","29","3","11","100",17.2,8.8,".251",".383",".325","59"
"Alonso, Pete","624413","2022","597","685","162","95","27","0","40","128",18.7,9.8,".271",".518",".352","131"
"Arraez, Luis","650333","2022","547","603","173","133","31","1","8","43",7.1,8.3,".316",".420",".375","49"
"Santana, Carlos","467793","2022","431","506","87","50","18","0","19","88",17.4,14,".202",".376",".316","60"
"Ramirez, Jose","608070","2022","601","685","168","90","44","5","29","82",12,10.1,".280",".514",".355","126"
"Turner, Trea","607208","2022","652","708","194","130","39","4","21","131",18.5,6.4,".298",".466",".343","100"
"Judge, Aaron","592450","2022","570","696","177","87","28","0","62","175",25.1,15.9,".311",".686",".425","131"
"Grisham, Trent","663757","2022","451","524","83","48","16","2","17","150",28.6,10.9,".184",".341",".284","53"
"Hayes, Ke'Bryan","663647","2022","505","560","123","89","24","3","7","122",21.8,8.6,".244",".345",".314","41"
"Garcia, Adolis","666969","2022","605","657","151","85","34","5","27","183",27.9,6.1,".250",".456",".300","101"
"Alvarez, Yordan","670541","2022","470","561","144","76","29","2","37","106",18.9,13.9,".306",".613",".406","97"
"Winker, Jesse","608385","2022","456","547","100","71","15","0","14","103",18.8,15.4,".219",".344",".344","53"
"Wisdom, Patrick","621550","2022","469","534","97","44","28","0","25","183",34.3,9.9,".207",".426",".298","66"
"Rojas, Josh","668942","2022","443","510","119","84","25","1","9","98",19.2,10.8,".269",".391",".349","56"
"Flores, Wilmer","527038","2022","525","602","120","72","28","1","19","103",17.1,9.8,".229",".394",".316","71"
"Betts, Mookie","605141","2022","572","639","154","76","40","3","35","104",16.3,8.6,".269",".533",".340","82"
"Schwarber, Kyle","656941","2022","577","669","126","56","21","3","46","200",29.9,12.9,".218",".504",".323","94"
"Canha, Mark","592192","2022","462","542","123","86","24","0","13","97",17.9,8.9,".266",".403",".367","61"
"Gurriel, Yuli","493329","2022","545","584","132","84","40","0","8","73",12.5,5.1,".242",".360",".288","53"
"Reynolds, Bryan","668804","2022","542","614","142","92","19","4","27","141",23,9.1,".262",".461",".345","62"
"Pham, Tommy","502054","2022","554","622","131","90","23","1","17","167",26.8,9,".236",".374",".312","63"
"Martinez, J.D.","502110","2022","533","596","146","86","43","1","16","145",24.3,8.7,".274",".448",".341","62"
"Bregman, Alex","608324","2022","548","656","142","81","38","0","23","77",11.7,13.3,".259",".454",".366","93"
"Ward, Taylor","621493","2022","495","564","139","92","22","2","23","120",21.3,10.6,".281",".473",".360","65"
"Mountcastle, Ryan","663624","2022","555","609","139","88","28","1","22","154",25.3,7.1,".250",".423",".305","85"
"Altuve, Jose","514888","2022","527","604","158","91","39","0","28","87",14.4,10.9,".300",".533",".387","57"
"Bogaerts, Xander","593428","2022","557","631","171","118","38","0","15","118",18.7,9,".307",".456",".377","73"
"Benintendi, Andrew","643217","2022","461","521","140","109","23","3","5","77",14.8,10,".304",".399",".373","51"
"Hernandez, Cesar","514917","2022","560","617","139","106","28","4","1","114",18.5,7.3,".248",".318",".311","34"
"Frazier, Adam","624428","2022","541","602","129","100","22","4","3","73",12.1,7.6,".238",".311",".301","42"
"McMahon, Ryan","641857","2022","529","597","130","84","23","3","20","158",26.5,10.1,".246",".414",".327","67"
"Melendez Jr., MJ","669004","2022","460","534","100","58","21","3","18","131",24.5,12.4,".217",".393",".313","62"
"LeMahieu, DJ","518934","2022","467","541","122","92","18","0","12","71",13.1,12.4,".261",".377",".357","46"
"Riley, Austin","663586","2022","615","693","168","89","39","2","38","168",24.2,8.2,".273",".528",".349","93"
"Smith, Will","669257","2022","508","578","132","79","26","3","24","96",16.6,9.7,".260",".465",".343","87"
"Straw, Myles","664702","2022","535","596","118","93","22","3","0","87",14.6,9.1,".221",".273",".291","32"
"Seager, Corey","608369","2022","593","663","145","87","24","1","33","103",15.5,8.7,".245",".455",".317","83"
"Correa, Carlos","621043","2022","522","590","152","105","24","1","22","121",20.5,10.3,".291",".467",".366","64"
"Bichette, Bo","666182","2022","652","697","189","121","43","1","24","155",22.2,5.9,".290",".469",".333","93"
"Edman, Tommy","669242","2022","577","630","153","105","31","4","13","111",17.6,7.3,".265",".400",".324","57"
"Rodriguez, Julio","677594","2022","511","560","145","89","25","3","28","145",25.9,7.1,".284",".509",".345","75"
"Cron, C.J.","543068","2022","575","632","148","88","28","3","29","164",25.9,6.8,".257",".468",".315","102"
"Varsho, Daulton","662139","2022","531","592","125","72","23","3","27","145",24.5,7.8,".235",".443",".302","74"
"Devers, Rafael","646240","2022","555","614","164","94","42","1","27","114",18.6,8.1,".295",".521",".358","88"
"Yelich, Christian","592885","2022","575","671","145","102","25","4","14","162",24.1,13.1,".252",".383",".355","57"
"Freeman, Freddie","518692","2022","612","708","199","129","47","2","21","102",14.4,11.9,".325",".511",".407","100"
"Brown, Seth","664913","2022","500","555","115","61","26","3","25","146",26.3,9.2,".230",".444",".305","73"
"Grichuk, Randal","545341","2022","506","538","131","88","21","3","19","127",23.6,4.5,".259",".425",".299","73"
"Santander, Anthony","623993","2022","574","647","138","81","24","0","33","122",18.9,8.5,".240",".455",".318","89"
"Torres, Gleyber","650402","2022","526","572","135","82","28","1","24","129",22.6,6.8,".257",".451",".310","76"
"Goldschmidt, Paul","502671","2022","561","651","178","102","41","0","35","141",21.7,12.1,".317",".578",".404","115"
"Hoskins, Rhys","656555","2022","589","672","145","80","33","2","30","169",25.1,10.7,".246",".462",".332","79"
"Diaz, Yandy","650490","2022","473","558","140","98","33","0","9","60",10.8,14,".296",".423",".401","57"
"Muncy, Max","571970","2022","464","565","91","47","22","1","21","141",25,15.9,".196",".384",".329","69"
"Guerrero Jr., Vladimir","665489","2022","638","706","175","108","35","0","32","116",16.4,8.2,".274",".480",".339","97"
"McCutchen, Andrew","457705","2022","515","580","122","80","25","0","17","124",21.4,9.8,".237",".384",".316","69"
"Lowe, Nathaniel","663993","2022","593","645","179","123","26","3","27","147",22.8,7.4,".302",".492",".358","76"
"Thomas, Lane","657041","2022","498","548","120","75","26","2","17","132",24.1,7.5,".241",".404",".301","52"
"Walker, Christian","572233","2022","583","667","141","78","25","2","36","131",19.6,10.3,".242",".477",".327","94"
"Suarez, Eugenio","553993","2022","543","629","128","71","24","2","31","196",31.2,11.6,".236",".459",".332","87"
"Profar, Jurickson","595777","2022","575","658","140","87","36","2","15","103",15.7,11.1,".243",".391",".331","58"
"Voit III, Luke","572228","2022","500","568","113","69","22","0","22","179",31.5,9.7,".226",".402",".308","69"
"Donaldson, Josh","518626","2022","478","546","106","63","28","0","15","148",27.1,9.9,".222",".374",".308","62"
"Rodgers, Brendan","663898","2022","527","581","140","94","30","3","13","101",17.4,7.9,".266",".408",".325","63"
"Pena, Jeremy","665161","2022","521","558","132","88","20","2","22","135",24.2,3.9,".253",".426",".289","63"
"Kemp, Tony","643393","2022","497","558","117","84","24","2","7","69",12.4,8.1,".235",".334",".307","46"
"Rosario, Amed","642708","2022","637","670","180","134","26","9","11","111",16.6,3.7,".283",".403",".312","71"
"Renfroe, Hunter","592669","2022","474","522","121","68","23","1","29","121",23.2,7.5,".255",".492",".315","72"
"Tucker, Kyle","663656","2022","544","609","140","81","28","1","30","95",15.6,9.7,".257",".478",".330","107"
"Estrada, Thairo","642731","2022","488","541","127","89","22","2","14","89",16.5,6.1,".260",".400",".322","62"
"Ozuna, Marcell","542303","2022","470","507","106","64","19","0","23","122",24.1,6.1,".226",".413",".274","56"
"Arozarena, Randy","668227","2022","586","645","154","90","41","3","20","156",24.2,7.1,".263",".445",".327","89"
"Ohtani, Shohei","660271","2022","586","666","160","90","30","6","34","161",24.2,10.8,".273",".519",".356","95"
"Marte, Ketel","606466","2022","492","558","118","62","42","2","12","101",18.1,9.9,".240",".407",".321","52"
"Verdugo, Alex","657077","2022","593","644","166","115","39","1","11","86",13.4,6.5,".280",".405",".328","74"
"Escobar, Eduardo","500871","2022","495","542","119","69","26","4","20","129",23.8,7.4,".240",".430",".295","69"
"Drury, Brandon","592273","2022","518","568","136","75","31","2","28","126",22.2,6.7,".263",".492",".320","87"
"Baez, Javier","595879","2022","555","590","132","84","27","4","17","147",24.9,4.4,".238",".393",".278","67"
