"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","b_rbi"
"Suarez, Eugenio","553993","2019","575","662","156","83","22","2","49","189",28.5,10.6,".271",".572",".358","103"
"Freeman, Freddie","518692","2019","597","692","176","102","34","2","38","127",18.4,12.6,".295",".549",".389","121"
"Segura, Jean","516416","2019","576","618","161","108","37","4","12","73",11.8,4.9,".280",".420",".323","60"
"Ozuna, Marcell","542303","2019","485","549","117","64","23","1","29","114",20.8,11.3,".241",".472",".328","89"
"Torres, Gleyber","650402","2019","546","604","152","88","26","0","38","129",21.4,7.9,".278",".535",".337","90"
"Arenado, Nolan","571448","2019","588","662","185","111","31","2","41","93",14,9.4,".315",".583",".379","118"
"Yelich, Christian","592885","2019","489","580","161","85","29","3","44","118",20.3,13.8,".329",".671",".429","97"
"Rosario, Amed","642708","2019","616","655","177","125","30","7","15","124",18.9,4.7,".287",".432",".323","72"
"Devers, Rafael","646240","2019","647","702","201","111","54","4","32","119",17,6.8,".311",".555",".361","115"
"Swanson, Dansby","621020","2019","483","545","121","75","26","3","17","124",22.8,9.4,".251",".422",".325","65"
"Fowler, Dexter","451594","2019","487","574","116","72","24","1","19","142",24.7,12.9,".238",".409",".346","67"
"LeMahieu, DJ","518934","2019","602","655","197","136","33","2","26","90",13.7,7,".327",".518",".375","102"
"Realmuto, J.T.","592663","2019","538","593","148","84","36","3","25","123",20.7,6.9,".275",".493",".328","83"
"McNeil, Jeff","643446","2019","510","567","162","100","38","1","23","75",13.2,6.2,".318",".531",".384","75"
"Jimenez, Eloy","650391","2019","468","504","125","74","18","2","31","134",26.6,6,".267",".513",".315","79"
"Vazquez, Christian","543877","2019","482","521","133","83","26","1","23","101",19.4,6.3,".276",".477",".320","72"
"Benintendi, Andrew","643217","2019","541","615","144","86","40","5","13","140",22.8,9.6,".266",".431",".343","68"
"Choo, Shin-Soo","425783","2019","563","660","149","92","31","2","24","165",25,11.8,".265",".455",".371","61"
"Ahmed, Nick","605113","2019","556","625","141","83","33","6","19","113",18.1,8.3,".254",".437",".316","82"
"Betts, Mookie","605141","2019","597","706","176","102","40","5","29","101",14.3,13.7,".295",".524",".391","80"
"Kipnis, Jason","543401","2019","458","511","112","71","23","1","17","88",17.2,7.8,".245",".410",".304","65"
"Brantley Jr., Michael","488726","2019","575","637","179","115","40","2","22","66",10.4,8,".311",".503",".372","90"
"Davis, Khris","501981","2019","481","533","106","72","11","0","23","146",27.4,8.8,".220",".387",".293","73"
"Reddick, Josh","502210","2019","501","550","138","102","19","3","14","66",12,6.5,".275",".409",".319","56"
"Mancini III, Trey","641820","2019","602","679","175","100","38","2","35","143",21.1,9.3,".291",".535",".364","97"
"Garcia, Leury","544725","2019","577","618","161","123","27","3","8","139",22.5,3.4,".279",".378",".310","40"
"Grichuk, Randal","545341","2019","586","628","136","71","29","5","31","163",26,5.6,".232",".457",".280","80"
"Pham, Tommy","502054","2019","567","654","155","99","33","2","21","123",18.8,12.4,".273",".450",".369","68"
"Voit III, Luke","572228","2019","429","510","113","70","21","1","21","142",27.8,13.9,".263",".464",".378","62"
"Moustakas, Mike","519058","2019","523","584","133","67","30","1","35","98",16.8,9.1,".254",".516",".329","87"
"Castro, Starlin","516770","2019","636","676","172","115","31","4","22","111",16.4,4.1,".270",".436",".300","86"
"Anderson, Brian","605119","2019","459","520","120","66","33","1","20","114",21.9,8.5,".261",".468",".342","66"
"Polanco, Jorge","593871","2019","631","704","186","117","40","7","22","116",16.5,8.5,".295",".485",".356","79"
"Moncada, Yoan","660162","2019","511","559","161","97","34","5","25","154",27.5,7.2,".315",".548",".367","79"
"Puig, Yasiel","624577","2019","555","611","148","92","30","2","24","133",21.8,7.2,".267",".458",".327","84"
"Smith, Mallex","605480","2019","510","566","116","82","19","9","6","141",24.9,7.4,".227",".335",".300","37"
"Braun, Ryan","460075","2019","459","508","131","76","31","2","22","105",20.7,6.7,".285",".505",".343","75"
"Soler, Jorge","624585","2019","589","679","156","74","33","1","48","178",26.2,10.8,".265",".569",".354","117"
"Acuna Jr., Ronald","660670","2019","626","715","175","110","22","2","41","188",26.3,10.6,".280",".518",".365","101"
"Frazier, Adam","624428","2019","554","608","154","104","33","7","10","75",12.3,6.6,".278",".417",".336","50"
"Lindor, Francisco","596019","2019","598","654","170","96","40","2","32","98",15,7,".284",".518",".335","74"
"Pederson, Joc","592626","2019","450","514","112","57","16","3","36","111",21.6,9.7,".249",".538",".339","74"
"Moran, Colin","592567","2019","466","503","129","85","30","1","13","117",23.3,6,".277",".429",".322","80"
"Gordon, Alex","460086","2019","556","633","148","103","31","1","13","100",15.8,8.1,".266",".396",".345","76"
"Santana, Domingo","570267","2019","451","507","114","72","20","1","21","164",32.3,9.9,".253",".441",".329","69"
"Martinez, J.D.","502110","2019","575","657","175","104","33","2","36","138",21,11,".304",".557",".383","105"
"Rendon, Anthony","543685","2019","545","646","174","93","44","3","34","86",13.3,12.4,".319",".598",".412","126"
"Bregman, Alex","608324","2019","554","690","164","84","37","2","41","83",12,17.2,".296",".592",".423","112"
"Profar, Jurickson","595777","2019","459","518","100","54","24","2","20","75",14.5,9.3,".218",".410",".301","67"
"Harper, Bryce","547180","2019","573","682","149","77","36","1","35","178",26.1,14.5,".260",".510",".372","114"
"Castellanos, Nick","592206","2019","615","664","178","90","58","3","27","143",21.5,6.2,".289",".525",".337","73"
"Wong, Kolten","543939","2019","478","549","136","96","25","4","11","83",15.1,8.6,".285",".423",".361","59"
"Schwarber, Kyle","656941","2019","529","610","132","62","29","3","38","156",25.6,11.5,".250",".531",".339","92"
"Odor, Rougned","596059","2019","522","581","107","46","30","1","30","178",30.6,9,".205",".439",".283","93"
"Rizzo, Anthony","519203","2019","512","613","150","91","29","3","27","86",14,11.6,".293",".520",".405","94"
"Pujols, Albert","405395","2019","491","545","120","75","22","0","23","68",12.5,7.9,".244",".430",".305","93"
"Albies, Ozzie","645277","2019","640","702","189","114","43","8","24","112",16,7.7,".295",".500",".352","86"
"Muncy, Max","571970","2019","487","589","122","64","22","1","35","149",25.3,15.3,".251",".515",".374","98"
"Sanchez, Yolmer","570560","2019","496","555","125","99","20","4","2","117",21.1,7.9,".252",".321",".318","43"
"Anderson, Tim","641313","2019","498","518","167","117","32","0","18","109",21,2.9,".335",".508",".357","56"
"Cruz Jr., Nelson","443558","2019","454","521","141","74","26","0","41","131",25.1,10.7,".311",".639",".392","108"
"Iglesias, Jose","578428","2019","504","530","145","110","21","3","11","70",13.2,3.8,".288",".407",".318","59"
"Ramos, Wilson","467092","2019","473","524","136","103","19","0","14","69",13.2,8.4,".288",".416",".351","73"
"Reyes, Franmil","614177","2019","494","548","123","67","19","0","37","156",28.5,8.6,".249",".512",".310","81"
"Guerrero Jr., Vladimir","665489","2019","464","514","126","83","26","2","15","91",17.7,8.9,".272",".433",".339","69"
"Belt, Brandon","474832","2019","526","616","123","71","32","3","17","127",20.6,13.5,".234",".403",".339","57"
"Donaldson, Josh","518626","2019","549","659","142","72","33","0","37","155",23.5,15.2,".259",".521",".379","94"
"Bell, Josh","605137","2019","527","613","146","69","37","3","37","118",19.2,12.1,".277",".569",".367","116"
"Hoskins, Rhys","656555","2019","570","705","129","62","33","5","29","173",24.5,16.5,".226",".454",".364","85"
"Grandal, Yasmani","518735","2019","513","632","126","70","26","2","28","139",22,17.2,".246",".468",".380","77"
"Gardner, Brett","458731","2019","491","550","123","62","26","7","28","108",19.6,9.5,".251",".503",".325","74"
"Blackmon, Charlie","453568","2019","580","634","182","101","42","7","32","104",16.4,6.3,".314",".576",".364","86"
"Alonso, Pete","624413","2019","597","693","155","70","30","2","53","183",26.4,10.4,".260",".583",".358","120"
"Arcia, Orlando","606115","2019","494","546","110","78","16","1","15","109",20,7.9,".223",".350",".283","59"
"Alberto, Hanser","593643","2019","524","550","160","125","21","2","12","50",9.1,2.9,".305",".422",".329","51"
"Hosmer, Eric","543333","2019","619","667","164","111","29","2","22","163",24.4,6,".265",".425",".310","99"
"Cabrera, Asdrubal","452678","2019","447","514","116","72","25","1","18","103",20,11.1,".260",".441",".342","91"
"Escobar, Eduardo","500871","2019","636","699","171","97","29","10","35","130",18.6,7.2,".269",".511",".320","118"
"Calhoun, Kole","594777","2019","552","632","128","65","29","1","33","162",25.6,11.1,".232",".467",".325","74"
"Ramirez, Jose","608070","2019","482","542","123","64","33","3","23","74",13.7,9.6,".255",".479",".327","83"
"Fletcher, David","664058","2019","596","653","173","133","30","4","6","64",9.8,8.4,".290",".384",".350","49"
"Turner, Justin","457759","2019","479","549","139","88","24","0","27","88",16,9.3,".290",".509",".372","67"
"Jones, Adam","430945","2019","485","528","126","84","25","1","16","101",19.1,5.9,".260",".414",".313","67"
"Cabrera, Miguel","408234","2019","493","549","139","106","21","0","12","108",19.7,8.7,".282",".398",".346","59"
"Adames, Willy","642715","2019","531","584","135","89","25","1","20","153",26.2,7.9,".254",".418",".317","52"
"Dozier, Hunter","641531","2019","523","586","146","81","29","10","26","148",25.3,9.4,".279",".522",".348","84"
"Trout, Mike","545361","2019","470","600","137","63","27","2","45","120",20,18.3,".291",".645",".438","104"
"McMahon, Ryan","641857","2019","480","539","120","73","22","1","24","160",29.7,10.4,".250",".450",".329","83"
"Marte, Starling","516782","2019","539","586","159","99","31","6","23","94",16,4.3,".295",".503",".342","82"
"Longoria, Evan","446334","2019","453","508","115","74","19","2","20","112",22,8.5,".254",".437",".325","69"
"Rojas, Miguel","500743","2019","483","526","137","102","29","1","5","62",11.8,6.1,".284",".379",".331","46"
"Crawford, Brandon","543063","2019","500","560","114","77","24","2","11","117",20.9,9.5,".228",".350",".304","59"
"Bryant, Kris","592178","2019","543","634","153","86","35","1","31","145",22.9,11.7,".282",".521",".382","77"
"Andrus, Elvis","462101","2019","600","648","165","122","27","4","12","96",14.8,5.2,".275",".393",".313","72"
"Conforto, Michael","624424","2019","549","648","141","78","29","1","33","149",23,13,".257",".494",".363","92"
"Kepler, Max","596146","2019","524","596","132","64","32","0","36","99",16.6,10.1,".252",".519",".336","90"
"Bradley Jr., Jackie","598265","2019","494","567","111","59","28","3","21","155",27.3,9.9,".225",".421",".317","62"
"Santana, Danny","542454","2019","474","511","134","77","23","6","28","151",29.5,4.9,".283",".534",".324","81"
"Garcia, Avisail","541645","2019","489","530","138","91","25","2","20","125",23.6,5.8,".282",".464",".332","72"
"Baez, Javier","595879","2019","531","561","149","78","38","4","29","156",27.8,5,".281",".531",".316","85"
"Robles, Victor","645302","2019","546","617","139","86","33","3","17","140",22.7,5.7,".255",".419",".326","65"
"Eaton, Adam","594809","2019","566","656","158","111","25","7","15","106",16.2,9.9,".279",".428",".365","49"
"Olson, Matt","621566","2019","483","547","129","67","26","0","36","138",25.2,9.3,".267",".545",".351","91"
"Vogelbach, Daniel","596129","2019","462","558","96","49","17","0","30","149",26.7,16.5,".208",".439",".341","76"
"Chapman, Matt","656305","2019","583","670","145","70","36","3","36","147",21.9,10.9,".249",".506",".342","91"
"Walker, Christian","572233","2019","529","603","137","81","26","1","29","155",25.7,11.1,".259",".476",".348","73"
"Goldschmidt, Paul","502671","2019","597","682","155","95","25","1","34","166",24.3,11.4,".260",".476",".346","97"
"Meadows, Austin","640457","2019","530","591","154","85","29","7","33","131",22.2,9.1,".291",".558",".364","89"
"Gurriel, Yuli","493329","2019","564","612","168","95","40","2","31","65",10.6,6,".298",".541",".343","104"
"Nunez, Renato","600524","2019","541","599","132","77","24","0","31","143",23.9,7.3,".244",".460",".311","90"
"Santana, Carlos","467793","2019","573","686","161","96","30","1","34","108",15.7,15.7,".281",".515",".397","93"
"Cain, Lorenzo","456715","2019","562","623","146","105","30","0","11","106",17,8,".260",".372",".325","48"
"Altuve, Jose","514888","2019","500","548","149","88","27","3","31","82",15,7.5,".298",".550",".353","74"
"Votto, Joey","458015","2019","525","608","137","89","32","1","15","123",20.2,12.5,".261",".411",".357","47"
"Newman, Kevin","621028","2019","493","531","152","114","20","6","12","62",11.7,5.3,".308",".446",".353","64"
"Heyward, Jason","518792","2019","513","589","129","84","20","4","21","110",18.7,11.5,".251",".429",".343","62"
"Bellinger, Cody","641355","2019","558","661","170","86","34","3","47","108",16.3,14.4,".305",".629",".406","115"
"Story, Trevor","596115","2019","588","656","173","95","38","5","35","174",26.5,8.8,".294",".554",".363","85"
"Villar, Jonathan","542340","2019","642","714","176","114","33","5","24","176",24.6,8.5,".274",".453",".339","73"
"Bogaerts, Xander","593428","2019","614","698","190","105","52","0","33","122",17.5,10.9,".309",".555",".384","117"
"Machado, Manny","592518","2019","587","661","150","95","21","2","32","128",19.4,9.8,".256",".462",".334","85"
"DeJong, Paul","657557","2019","583","664","136","74","31","1","30","149",22.4,9.3,".233",".444",".318","78"
"Soto, Juan","665742","2019","542","659","153","82","32","5","34","132",20,16.4,".282",".548",".401","110"
"Galvis, Freddy","520471","2019","557","589","145","93","28","1","23","145",24.6,4.8,".260",".438",".296","70"
"Merrifield, Whit","593160","2019","681","735","206","139","41","10","16","126",17.1,6.1,".302",".463",".348","74"
"Pillar, Kevin","607680","2019","611","645","158","97","37","3","21","89",13.8,2.8,".259",".432",".287","88"
"Turner, Trea","607208","2019","521","569","155","94","37","5","19","113",19.9,7.6,".298",".497",".353","57"
"Hernandez, Cesar","514917","2019","612","667","171","123","31","3","14","100",15,6.7,".279",".408",".333","71"
"Seager, Corey","608369","2019","489","541","133","69","44","1","19","98",18.1,8.1,".272",".483",".335","87"
"Abreu, Jose","547989","2019","634","693","180","108","38","1","33","152",21.9,5.2,".284",".503",".330","123"
"Rosario, Eddie","592696","2019","562","590","155","94","28","1","32","86",14.6,3.7,".276",".500",".300","109"
"Springer III, George","543807","2019","479","556","140","78","20","3","39","113",20.3,12.1,".292",".591",".383","96"
"Reynolds, Bryan","668804","2019","491","546","154","97","37","4","16","121",22.2,8.4,".314",".503",".377","68"
"Semien, Marcus","543760","2019","657","747","187","104","43","7","33","102",13.7,11.6,".285",".522",".369","92"
