"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","b_rbi"
"Outman, James","681546","2023","483","567","120","78","16","3","23","181",31.9,12,".248",".437",".353","70"
"Crawford, J.P.","641487","2023","534","638","142","88","35","0","19","125",19.6,14.7,".266",".438",".380","65"
"India, Jonathan","663697","2023","454","529","111","71","23","0","17","109",20.6,9.8,".244",".407",".338","61"
"Renfroe, Hunter","592669","2023","498","548","116","65","31","0","20","125",22.8,8,".233",".416",".297","60"
"Hernandez, Enrique","571771","2023","465","508","110","76","23","0","11","97",19.1,6.7,".237",".357",".289","61"
"Cronenworth, Jake","630105","2023","458","522","105","64","24","7","10","97",18.6,8.8,".229",".378",".312","48"
"Ohtani, Shohei","660271","2023","497","599","151","73","26","8","44","143",23.9,15.2,".304",".654",".412","95"
"Garcia, Maikel","672580","2023","464","515","126","98","20","4","4","115",22.3,7.4,".272",".358",".323","50"
"Bellinger, Cody","641355","2023","499","556","153","97","29","1","26","87",15.6,7.2,".307",".525",".356","97"
"Kim, Ha-Seong","673490","2023","538","626","140","100","23","0","17","124",19.8,12,".260",".398",".351","60"
"Semien, Marcus","543760","2023","670","753","185","112","40","4","29","110",14.6,9.6,".276",".478",".348","100"
"Springer III, George","543807","2023","613","683","158","111","25","1","21","125",18.3,8.8,".258",".405",".327","72"
"Yelich, Christian","592885","2023","550","632","153","99","34","1","19","140",22.2,12.3,".278",".447",".370","76"
"Torkelson, Spencer","679529","2023","606","684","141","75","34","1","31","171",25,9.8,".233",".446",".313","94"
"Arcia, Orlando","606115","2023","488","533","129","87","25","0","17","102",19.1,7.3,".264",".420",".321","65"
"Goldschmidt, Paul","502671","2023","593","687","159","103","31","0","25","161",23.4,12.7,".268",".447",".363","80"
"Bregman, Alex","608324","2023","622","724","163","106","28","4","25","87",12,12.7,".262",".441",".363","98"
"Suzuki, Seiya","673548","2023","515","583","147","90","31","6","20","130",22.3,10.1,".285",".485",".357","74"
"Bogaerts, Xander","593428","2023","596","665","170","118","31","2","19","110",16.5,8.4,".285",".440",".350","58"
"Rutschman, Adley","668939","2023","588","687","163","111","31","1","20","101",14.7,13.4,".277",".435",".374","80"
"Riley, Austin","663586","2023","636","715","179","107","32","3","37","172",24.1,8.3,".281",".516",".345","97"
"LeMahieu, DJ","518934","2023","497","562","121","81","22","3","15","125",22.2,10.7,".243",".390",".327","44"
"Melendez Jr., MJ","669004","2023","533","602","125","75","29","5","16","170",28.2,10.3,".235",".398",".316","56"
"Stott, Bryson","681082","2023","585","640","164","115","32","2","15","100",15.6,6.1,".280",".419",".329","62"
"Correa, Carlos","621043","2023","514","580","118","69","29","2","18","131",22.6,10.2,".230",".399",".312","65"
"Friedl Jr., TJ","670770","2023","488","556","136","88","22","8","18","90",16.2,8.5,".279",".467",".352","66"
"Burger, Jake","669394","2023","492","540","123","60","28","1","34","149",27.6,5.9,".250",".518",".309","80"
"Verdugo, Alex","657077","2023","546","602","144","89","37","5","13","93",15.4,7.5,".264",".421",".324","54"
"Garcia, Adolis","666969","2023","555","632","136","68","29","0","39","175",27.7,10.3,".245",".508",".328","107"
"Bohm, Alec","664761","2023","558","611","153","102","31","0","20","94",15.4,6.9,".274",".437",".327","97"
"Nimmo, Brandon","607043","2023","592","682","162","102","30","6","24","146",21.4,10.9,".274",".466",".363","68"
"Vaughn, Andrew","683734","2023","566","615","146","93","30","2","21","129",21,5.9,".258",".429",".314","80"
"Anderson, Tim","641313","2023","493","524","121","100","18","2","1","122",23.3,5,".245",".296",".286","25"
"Harris II, Michael","671739","2023","505","539","148","94","33","3","18","101",18.7,4.6,".293",".477",".331","57"
"Olson, Matt","621566","2023","608","720","172","88","27","3","54","167",23.2,14.4,".283",".604",".389","139"
"Grisham, Trent","663757","2023","469","555","93","48","31","1","13","154",27.7,13.5,".198",".352",".315","50"
"Davis, J.D.","605204","2023","480","546","119","77","23","1","18","152",27.8,9.5,".248",".412",".325","69"
"Rosario, Amed","642708","2023","510","545","134","95","25","8","6","99",18.2,5.3,".263",".378",".305","58"
"Freeman, Freddie","518692","2023","637","730","211","121","59","2","29","121",16.6,9.9,".331",".567",".410","102"
"Varsho, Daulton","662139","2023","527","581","116","70","23","3","20","135",23.2,7.7,".220",".389",".285","61"
"Castellanos, Nick","592206","2023","626","671","170","102","37","2","29","185",27.6,5.4,".272",".476",".311","106"
"France, Ty","664034","2023","587","665","147","103","32","0","12","117",17.6,6.5,".250",".366",".337","58"
"Abreu, Jose","547989","2023","540","594","128","86","23","1","18","130",21.9,7.1,".237",".383",".296","90"
"Schwarber, Kyle","656941","2023","585","720","115","48","19","1","47","215",29.9,17.5,".197",".474",".343","104"
"McKinstry, Zach","656716","2023","464","518","107","73","21","4","9","113",21.8,8.5,".231",".351",".302","35"
"Merrifield, Whit","593160","2023","547","592","149","111","27","0","11","101",17.1,6.1,".272",".382",".318","67"
"Smith, Will","669257","2023","464","554","121","79","21","2","19","89",16.1,11.4,".261",".438",".359","76"
"Drury, Brandon","592273","2023","485","523","127","68","30","3","26","136",26,4.8,".262",".497",".306","83"
"Candelario, Jeimer","600869","2023","505","576","127","63","39","3","22","127",22,9.2,".251",".471",".336","70"
"Abrams, CJ","682928","2023","563","614","138","86","28","6","18","118",19.2,5.2,".245",".412",".300","64"
"Witt Jr., Bobby","677951","2023","641","694","177","108","28","11","30","121",17.4,5.8,".276",".495",".319","96"
"Arozarena, Randy","668227","2023","551","654","140","95","19","3","23","156",23.9,12.2,".254",".425",".364","83"
"Gurriel Jr., Lourdes","666971","2023","551","592","144","83","35","2","24","103",17.4,5.6,".261",".463",".309","82"
"Santana, Carlos","467793","2023","550","619","132","75","33","1","23","104",16.8,10.5,".240",".429",".318","86"
"Santander, Anthony","623993","2023","591","656","152","82","41","1","28","152",23.2,8.4,".257",".472",".325","95"
"Rosario, Eddie","592696","2023","478","516","122","74","24","3","21","122",23.6,6.6,".255",".450",".305","74"
"Hernandez, Teoscar","606192","2023","625","678","161","104","29","2","26","211",31.1,5.6,".258",".435",".305","93"
"Meneses, Joey","608841","2023","611","657","168","118","36","1","13","130",19.8,5.8,".275",".401",".321","89"
"De La Cruz, Bryan","650559","2023","579","626","149","98","32","0","19","142",22.7,6.4,".257",".411",".304","78"
"Hayes, Ke'Bryan","663647","2023","494","525","134","81","31","7","15","104",19.8,5.3,".271",".453",".309","61"
"Wade Jr., LaMonte","664774","2023","429","519","110","77","14","2","17","95",18.3,14.6,".256",".417",".373","45"
"McMahon, Ryan","641857","2023","555","627","133","76","31","3","23","198",31.6,10.8,".240",".431",".322","70"
"Chapman, Matt","656305","2023","509","581","122","64","39","2","17","165",28.4,10.7,".240",".424",".330","54"
"Stephenson, Tyler","663886","2023","465","517","113","78","20","2","13","135",26.1,9.1,".243",".378",".317","56"
"Straw, Myles","664702","2023","462","518","110","88","18","3","1","97",18.7,8.1,".238",".297",".301","29"
"Smith, Dominic","642086","2023","527","586","134","100","21","1","12","91",15.5,8,".254",".366",".326","46"
"Betts, Mookie","605141","2023","584","693","179","99","40","1","39","107",15.4,13.9,".307",".579",".408","107"
"Machado, Manny","592518","2023","543","601","140","89","21","0","30","109",18.1,8.3,".258",".462",".319","91"
"Happ, Ian","664023","2023","580","691","144","84","35","4","21","153",22.1,14.3,".248",".431",".360","84"
"Diaz, Yandy","650490","2023","525","600","173","116","35","0","22","94",15.7,10.8,".330",".522",".410","78"
"Perez, Salvador","521692","2023","538","580","137","93","21","0","23","135",23.3,3.3,".255",".422",".292","80"
"Kwan, Steven","680757","2023","638","718","171","123","36","7","5","75",10.4,9.7,".268",".370",".340","54"
"Arraez, Luis","650333","2023","574","617","203","160","30","3","10","34",5.5,5.7,".354",".469",".393","69"
"Swanson, Dansby","621020","2023","565","638","138","88","25","3","22","154",24.1,10.3,".244",".416",".328","80"
"McNeil, Jeff","643446","2023","585","648","158","119","25","4","10","65",10,6,".270",".378",".333","55"
"Paredes, Isaac","670623","2023","492","571","123","68","24","0","31","104",18.2,10.2,".250",".488",".352","98"
"Tatis Jr., Fernando","665487","2023","575","635","148","89","33","1","25","141",22.2,8.3,".257",".449",".322","78"
"Ramirez, Jose","608070","2023","611","691","172","107","36","5","24","73",10.6,10.6,".282",".475",".356","80"
"Yoshida, Masataka","807799","2023","537","580","155","104","33","3","15","81",14,5.9,".289",".445",".338","72"
"Gimenez, Andres","665926","2023","557","616","140","93","27","5","15","112",18.2,5.2,".251",".399",".314","62"
"Albies, Ozzie","645277","2023","596","660","167","99","30","5","33","107",16.2,7,".280",".513",".336","109"
"Vierling, Matt","663837","2023","479","530","125","89","21","5","10","112",21.1,8.3,".261",".388",".329","44"
"Nootbaar, Lars","663457","2023","426","503","111","73","23","1","14","99",19.7,14.3,".261",".418",".367","46"
"Edman, Tommy","669242","2023","479","528","119","77","25","4","13","84",15.9,6.6,".248",".399",".307","47"
"Thomas, Lane","657041","2023","628","682","168","101","36","3","28","176",25.8,5.3,".268",".468",".315","86"
"Tucker, Kyle","663656","2023","574","674","163","92","37","5","29","92",13.6,11.9,".284",".517",".369","112"
"Profar, Jurickson","595777","2023","459","521","111","73","27","2","9","90",17.3,9.6,".242",".368",".321","46"
"Devers, Rafael","646240","2023","580","656","157","90","34","0","33","126",19.2,9.5,".271",".500",".351","100"
"Henderson, Gunnar","683002","2023","560","622","143","77","29","9","28","159",25.6,9,".255",".489",".325","82"
"Ozuna, Marcell","542303","2023","530","592","145","75","29","1","40","134",22.6,9.6,".274",".558",".346","100"
"Alonso, Pete","624413","2023","568","658","123","54","21","2","46","151",22.9,9.9,".217",".504",".318","118"
"Bell, Josh","605137","2023","547","617","135","85","28","0","22","134",21.7,10.2,".247",".419",".325","74"
"Canha, Mark","592192","2023","435","507","114","77","25","1","11","79",15.6,9.7,".262",".400",".355","62"
"Suarez, Eugenio","553993","2023","598","694","139","88","29","0","22","214",30.8,10.1,".232",".391",".323","96"
"Estrada, Thairo","642731","2023","495","530","134","92","26","2","14","120",22.6,4.2,".271",".416",".315","49"
"Steer, Spencer","668715","2023","582","665","158","95","37","3","23","139",20.9,10.2,".271",".464",".356","86"
"Soler, Jorge","624585","2023","504","580","126","66","24","0","36","141",24.3,11.4,".250",".512",".341","75"
"Jung, Josh","673962","2023","478","515","127","78","25","1","23","151",29.3,5.8,".266",".467",".315","70"
"Lowe, Nathaniel","663993","2023","623","724","163","105","38","3","17","165",22.8,12.8,".262",".414",".360","82"
"Volpe, Anthony","683011","2023","541","601","113","65","23","4","21","167",27.8,8.7,".209",".383",".283","60"
"Marte, Ketel","606466","2023","569","650","157","97","26","9","25","109",16.8,10.9,".276",".485",".358","82"
"Acuna Jr., Ronald","660670","2023","643","735","217","137","35","4","41","84",11.4,10.9,".337",".596",".416","106"
"Arenado, Nolan","571448","2023","560","612","149","95","26","2","26","101",16.5,6.7,".266",".459",".315","93"
"Pena, Jeremy","665161","2023","577","634","152","107","32","3","10","129",20.3,6.8,".263",".381",".324","52"
"Taveras, Leody","665750","2023","511","554","136","88","31","3","14","117",21.1,6.3,".266",".421",".312","67"
"Carroll, Corbin","682998","2023","565","645","161","96","30","10","25","125",19.4,8.8,".285",".506",".362","76"
"Realmuto, J.T.","592663","2023","489","540","123","70","28","5","20","138",25.6,6.5,".252",".452",".310","63"
"Raleigh, Cal","663728","2023","513","569","119","65","23","1","30","158",27.8,9.5,".232",".456",".306","75"
"Torres, Gleyber","650402","2023","596","672","163","108","28","2","25","98",14.6,10,".273",".453",".347","68"
"Rodriguez, Julio","677594","2023","654","714","180","109","37","2","32","175",24.5,6.6,".275",".485",".333","103"
"Tovar, Ezequiel","678662","2023","581","615","147","91","37","4","15","166",27,4.1,".253",".408",".287","73"
"Walker, Christian","572233","2023","582","661","150","79","36","2","33","127",19.2,9.4,".258",".497",".333","103"
"Hays, Austin","669720","2023","520","566","143","89","36","2","16","141",24.9,6.7,".275",".444",".325","67"
"Turner, Justin","457759","2023","558","626","154","100","31","0","23","110",17.6,8.1,".276",".455",".345","96"
"Robert Jr., Luis","673357","2023","546","595","144","69","36","1","38","172",28.9,5,".264",".542",".315","80"
"Adames, Willy","642715","2023","553","638","120","65","29","2","24","165",25.9,11.1,".217",".407",".310","80"
"Baez, Javier","595879","2023","510","547","113","82","18","4","9","125",22.9,4.4,".222",".325",".267","59"
"Benintendi, Andrew","643217","2023","562","621","147","106","34","2","5","89",14.3,8.4,".262",".356",".326","45"
"Turner, Trea","607208","2023","639","691","170","104","35","5","26","150",21.7,6.5,".266",".459",".320","76"
"Contreras, William","661388","2023","540","611","156","100","38","1","17","126",20.6,10.3,".289",".457",".367","78"
"Bichette, Bo","666182","2023","571","601","175","122","30","3","20","115",19.1,4.5,".306",".475",".339","73"
"Soto, Juan","665742","2023","568","708","156","88","32","1","35","129",18.2,18.6,".275",".519",".410","109"
"Rooker Jr., Brent","667670","2023","463","526","114","63","20","1","30","172",32.7,9.3,".246",".488",".329","69"
"Hoerner, Nico","663538","2023","619","688","175","135","27","4","9","83",12.1,7.1,".283",".383",".346","68"
"Seager, Corey","608369","2023","477","536","156","81","42","0","33","88",16.4,9.1,".327",".623",".390","96"
"Reynolds, Bryan","668804","2023","574","640","151","91","31","5","24","138",21.6,8.3,".263",".460",".330","84"
"Ruiz, Keibert","660688","2023","523","562","136","94","24","0","18","58",10.3,5.5,".260",".409",".308","67"
"Lindor, Francisco","596019","2023","602","687","153","87","33","2","31","137",19.9,9.6,".254",".470",".336","98"
"Harper, Bryce","547180","2023","457","546","134","83","29","1","21","119",21.8,14.7,".293",".499",".401","72"
"Guerrero Jr., Vladimir","665489","2023","602","682","159","103","30","0","26","100",14.7,9.8,".264",".444",".345","94"
"Suwinski, Jack","669261","2023","447","534","100","51","21","2","26","172",32.2,14,".224",".454",".339","74"
"Muncy, Max","571970","2023","482","579","102","48","17","1","36","153",26.4,14.7,".212",".475",".333","105"
"Diaz, Elias","553869","2023","486","526","130","90","25","1","14","118",22.4,6.5,".267",".409",".316","72"
