"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","b_rbi"
"Dozier, Hunter","641531","2021","487","543","105","56","27","6","16","154",28.4,7.9,".216",".394",".285","54"
"Bell, Josh","605137","2021","498","568","130","78","24","1","27","101",17.8,11.4,".261",".476",".347","88"
"Renfroe, Hunter","592669","2021","521","572","135","71","33","0","31","130",22.7,7.7,".259",".501",".315","96"
"Garcia, Avisail","541645","2021","461","515","121","74","18","0","29","121",23.5,7.4,".262",".490",".330","86"
"Mancini III, Trey","641820","2021","556","616","142","87","33","1","21","143",23.2,8.3,".255",".432",".326","71"
"Lopez, Nicky","670032","2021","497","565","149","120","21","6","2","74",13.1,8.7,".300",".378",".365","43"
"Mountcastle, Ryan","663624","2021","534","586","136","79","23","1","33","161",27.5,7,".255",".487",".309","89"
"Chisholm Jr., Jazz","665862","2021","464","507","115","73","20","4","18","145",28.6,6.7,".248",".425",".303","53"
"Rojas, Miguel","500743","2021","495","539","131","89","30","3","9","74",13.7,6.9,".265",".392",".322","48"
"Walsh, Jared","665120","2021","530","585","147","83","34","1","29","152",26,8.2,".277",".509",".340","98"
"Tatis Jr., Fernando","665487","2021","478","546","135","62","31","0","42","153",28,11.4,".282",".611",".364","97"
"Iglesias, Jose","578428","2021","483","511","131","93","27","2","9","75",14.7,4.1,".271",".391",".309","48"
"Crawford, J.P.","641487","2021","619","687","169","123","37","0","9","114",16.6,8.4,".273",".376",".338","54"
"Taylor, Chris","621035","2021","507","582","129","80","25","4","20","167",28.7,10.8,".254",".438",".344","73"
"Gallo, Joey","608336","2021","498","616","99","47","13","1","38","213",34.6,18,".199",".458",".351","77"
"McCutchen, Andrew","457705","2021","482","574","107","55","24","1","27","132",23,14.1,".222",".444",".334","80"
"Harper, Bryce","547180","2021","488","599","151","73","42","1","35","134",22.4,16.7,".309",".615",".429","84"
"Perez, Salvador","521692","2021","620","665","169","97","24","0","48","170",25.6,4.2,".273",".544",".316","121"
"Edman, Tommy","669242","2021","641","691","168","113","41","3","11","95",13.7,5.5,".262",".387",".308","56"
"Canha, Mark","592192","2021","519","625","120","77","22","4","17","128",20.5,12.3,".231",".387",".358","61"
"Verdugo, Alex","657077","2021","544","604","157","110","32","2","13","96",15.9,8.4,".289",".426",".351","63"
"Chapman, Matt","656305","2021","529","622","111","66","15","3","27","202",32.5,12.9,".210",".403",".314","72"
"Alonso, Pete","624413","2021","561","637","147","80","27","3","37","127",19.9,9.4,".262",".519",".344","94"
"Hays, Austin","669720","2021","488","529","125","73","26","4","22","107",20.2,5.3,".256",".461",".308","71"
"Arozarena, Randy","668227","2021","529","604","145","90","32","3","20","170",28.1,9.3,".274",".459",".356","69"
"Bryant, Kris","592178","2021","513","586","136","77","32","2","25","135",23,10.6,".265",".481",".353","73"
"Gurriel, Yuli","493329","2021","530","605","169","123","31","0","15","68",11.2,9.8,".319",".462",".383","81"
"Goldschmidt, Paul","502671","2021","603","679","177","108","36","2","31","136",20,9.9,".294",".514",".365","99"
"Merrifield, Whit","593160","2021","664","720","184","129","42","3","10","103",14.3,5.6,".277",".395",".317","74"
"Story, Trevor","596115","2021","526","595","132","69","34","5","24","139",23.4,8.9,".251",".471",".329","75"
"Betts, Mookie","605141","2021","466","550","123","68","29","3","23","86",15.6,12.4,".264",".487",".367","58"
"Carlson, Dylan","666185","2021","542","619","144","91","31","4","18","152",24.6,9.2,".266",".437",".343","65"
"Judge, Aaron","592450","2021","550","633","158","95","24","0","39","158",25,11.8,".287",".544",".373","98"
"Taylor, Michael A.","572191","2021","483","528","118","89","16","1","12","144",27.3,6.3,".244",".356",".297","54"
"Correa, Carlos","621043","2021","555","640","155","94","34","1","26","116",18.1,11.7,".279",".485",".366","92"
"Bogaerts, Xander","593428","2021","529","603","156","98","34","1","23","113",18.7,10.3,".295",".493",".370","79"
"Rizzo, Anthony","519203","2021","496","576","123","75","23","3","22","87",15.1,9,".248",".440",".344","61"
"Duvall, Adam","594807","2021","513","555","117","60","17","2","38","174",31.4,6.3,".228",".491",".281","113"
"Haniger, Mitch","571745","2021","620","691","157","93","23","2","39","169",24.5,7.8,".253",".485",".318","100"
"Candelario, Jeimer","600869","2021","557","626","151","90","42","3","16","135",21.6,10.4,".271",".443",".351","67"
"Straw, Myles","664702","2021","564","638","153","119","29","1","4","121",19,10.5,".271",".348",".349","48"
"Frazier, Adam","624428","2021","577","639","176","130","36","5","5","69",10.8,7.5,".305",".411",".368","43"
"Hernandez, Teoscar","606192","2021","550","595","163","102","29","0","32","148",24.9,6.1,".296",".524",".346","116"
"Bichette, Bo","666182","2021","640","690","191","131","30","1","29","137",19.9,5.8,".298",".484",".343","102"
"Meadows, Austin","640457","2021","518","591","121","62","29","3","27","122",20.6,10,".234",".458",".315","106"
"Muncy, Max","571970","2021","497","592","124","60","26","2","36","120",20.3,14,".249",".527",".368","94"
"Harrison, Josh","543281","2021","505","558","141","98","33","2","8","75",13.4,5.6,".279",".400",".341","60"
"Tapia, Raimel","606132","2021","487","533","133","99","26","2","6","70",13.1,7.5,".273",".372",".327","50"
"Stanton, Giancarlo","519317","2021","510","579","139","85","19","0","35","157",27.1,10.9,".273",".516",".354","97"
"Kiner-Falefa, Isiah","643396","2021","635","677","172","136","25","3","8","90",13.3,4.1,".271",".357",".312","53"
"Baez, Javier","595879","2021","502","547","133","82","18","2","31","184",33.6,5.1,".265",".494",".319","87"
